timestamp;channel1;channel2;channel3;channel4;channel5;channel6;period1;
3400;53.9;48.9;-4.6;50.7;51.6;-10.0;7004;
3420;54.0;48.4;-4.5;50.2;52.1;-10.0;7003;
3440;53.1;49.0;-4.8;50.2;51.9;-10.0;6994;
3460;53.6;48.4;-5.1;50.2;51.9;-10.0;7000;
3600;53.3;48.6;-4.8;49.4;51.4;-10.0;6991;
3620;53.2;48.4;-5.6;50.0;51.7;-10.0;7001;
3640;54.3;48.3;-4.3;50.0;51.6;-10.0;7000;
3660;53.1;48.5;-4.6;50.1;52.1;-10.0;6993;
3680;53.0;48.9;-4.5;49.7;51.7;-10.0;6999;
3700;53.9;49.2;-4.5;50.0;51.9;-10.0;7007;
3720;53.2;49.5;-4.6;50.0;51.9;-10.0;6996;
3740;53.6;48.8;-4.7;50.2;52.1;-10.0;7003;
3760;53.6;48.8;-4.7;49.3;51.9;-10.0;7005;
3780;53.0;49.3;-4.3;50.1;51.7;-10.0;6999;
3800;53.6;49.1;-4.4;50.5;51.5;-10.0;7001;
3820;54.0;48.8;-4.6;50.2;52.1;-10.0;7003;
3840;53.5;48.8;-4.5;50.3;51.2;-10.0;7002;
3860;53.6;48.8;-4.6;50.3;52.2;-10.0;6999;
3880;53.7;48.8;-4.4;50.2;51.2;-10.0;7008;
3900;53.6;47.8;-4.6;50.0;51.7;-10.0;6992;
3920;53.6;48.8;-4.7;50.0;51.7;-10.0;6997;
3940;53.4;48.8;-4.4;50.2;52.0;-10.0;6999;
3960;53.1;48.9;-4.6;50.1;52.0;-10.0;6993;
3980;54.0;48.2;-4.6;50.1;52.0;-10.0;7002;
4000;53.4;48.7;-4.7;50.3;52.2;-10.0;7005;
4020;53.4;48.4;-4.2;50.0;51.9;-10.0;7007;
4040;52.8;49.1;-4.5;50.2;51.9;-10.0;6991;
4060;53.9;49.3;-4.4;50.3;51.9;-10.0;7002;
4080;54.3;48.4;-4.7;50.4;51.3;-10.0;7007;
4100;53.0;47.9;-4.5;50.0;51.9;-10.0;6998;
4120;53.1;48.4;-4.5;50.0;51.9;-10.0;6996;
4140;53.7;49.0;-4.5;50.3;51.2;-10.0;7004;
4160;53.7;48.8;-4.4;49.7;52.6;-10.0;7004;
4180;53.5;48.7;-4.7;50.3;51.9;-10.0;7009;
4200;53.3;48.5;-5.5;50.1;51.7;-10.0;7002;
4220;53.4;48.7;-4.4;50.7;51.8;-10.0;7002;
4240;54.0;48.9;-4.6;50.0;51.9;-10.0;7001;
4260;53.4;48.6;-4.5;50.2;52.1;-10.0;7003;
4280;53.5;48.7;-4.5;50.3;51.2;-10.0;7000;
4300;53.2;48.4;-5.6;50.3;52.2;-10.0;7004;
4320;53.5;48.7;-4.7;50.2;51.9;-10.0;6996;
4340;53.5;47.9;-4.4;50.0;51.7;-10.0;7004;
4360;53.5;48.5;-4.7;50.2;52.4;-10.0;7002;
4380;54.1;48.9;-4.6;49.8;52.7;-10.0;7000;
4400;53.2;48.6;-4.6;50.1;51.1;-10.0;6994;
4420;53.7;49.0;-4.6;50.0;51.8;-10.0;7003;
4440;53.0;48.8;-4.7;50.2;51.9;-10.0;7000;
4460;53.3;48.2;-4.4;50.2;51.9;-10.0;6999;
4680;53.3;48.5;-4.6;50.5;51.4;-10.0;6999;
4700;54.1;48.1;-5.2;50.3;52.1;-10.0;7002;
4720;52.7;48.0;-4.5;50.0;51.9;-10.0;6994;
4740;53.6;48.8;-4.7;50.0;52.5;-10.0;6998;
4760;53.3;48.6;-5.5;49.3;52.0;-10.0;7001;
4780;53.5;48.4;-4.5;50.1;52.1;-10.0;7002;
4800;53.2;48.0;-4.6;49.6;51.7;-10.0;7005;
4820;54.4;48.7;-4.6;50.2;52.1;-10.0;7008;
4840;54.1;48.2;-5.2;50.3;52.1;-10.0;7007;
4860;53.4;48.3;-4.3;50.1;52.0;-10.0;6998;
4880;52.9;49.2;-4.5;50.0;52.6;-10.0;7000;
4900;53.2;48.4;-5.6;50.0;51.7;-10.0;6995;
4920;53.4;48.9;-4.4;50.6;51.4;-10.0;7001;
4940;53.1;48.9;-4.5;49.3;51.1;-10.0;6998;
4960;54.1;48.4;-4.5;50.3;52.1;-10.0;7002;
4980;53.5;48.8;-5.2;50.0;51.9;-10.0;6998;
5000;53.3;48.6;-5.5;50.0;51.9;-10.0;7002;
5020;53.5;48.8;-4.7;50.0;52.6;-10.0;6994;
5040;53.7;48.9;-4.3;50.2;51.9;-10.0;7002;
5060;53.4;48.6;-4.7;49.4;52.2;-10.0;6999;
5080;53.1;48.0;-5.5;49.4;52.3;-10.0;7001;
5100;53.9;48.4;-4.6;49.7;52.6;-10.0;7007;
5120;53.1;48.4;-5.1;50.2;52.1;-10.0;6997;
5140;54.0;49.2;-4.5;50.0;51.9;-10.0;7005;
5160;53.6;48.8;-4.7;50.2;51.9;-10.0;7005;
5180;53.5;48.7;-4.7;50.1;51.7;-10.0;7004;
5200;53.2;48.7;-4.3;50.4;52.3;-10.0;7000;
5220;54.0;48.8;-4.5;49.6;51.4;-10.0;6999;
5240;53.3;48.7;-4.5;50.3;52.1;-10.0;6994;
5260;53.2;48.6;-5.0;50.2;52.1;-10.0;6995;
5280;53.6;48.8;-4.7;50.2;52.1;-10.0;6998;
5300;54.1;48.3;-4.3;50.0;52.6;-10.0;7003;
5320;53.4;48.8;-4.7;50.1;51.7;-10.0;6999;
5340;53.0;48.3;-4.7;49.9;51.8;-10.0;7005;
5360;53.2;48.0;-4.6;50.0;51.0;-10.0;6999;
5380;53.3;47.8;-4.5;50.2;51.2;-10.0;7000;
5400;53.1;48.3;-4.9;50.2;52.1;-10.0;6994;
5420;53.9;49.3;-4.4;50.0;51.8;-10.0;7001;
5440;53.0;47.9;-4.5;50.3;51.9;-10.0;7002;
5460;54.0;48.9;-4.6;50.2;51.9;-10.0;7004;
5480;53.0;47.8;-4.5;50.4;52.5;-10.0;7003;
5640;53.0;48.8;-4.5;50.1;52.0;-10.0;6998;
5660;53.6;48.0;-4.5;50.2;52.1;-10.0;7000;
5680;53.5;48.9;-4.7;50.3;52.1;-10.0;7008;
5700;53.6;47.8;-4.6;50.2;52.1;-10.0;6999;
5720;54.0;49.2;-4.5;50.2;51.9;-10.0;7003;
5740;53.7;48.8;-4.4;50.2;51.9;-10.0;7001;
5760;53.4;48.8;-5.5;50.9;51.8;-10.0;6998;
5780;54.0;48.8;-4.6;50.1;51.0;-10.0;7003;
5800;54.4;48.9;-4.6;50.3;52.1;-10.0;7000;
5820;53.4;48.5;-4.5;50.0;51.9;-10.0;7002;
5840;53.2;48.4;-5.6;50.3;52.2;-10.0;6999;
5860;53.6;48.8;-4.7;50.2;51.9;-10.0;7001;
5880;53.5;47.7;-5.3;50.3;51.9;-10.0;7001;
5900;53.8;48.7;-4.7;49.8;51.6;-10.0;6998;
5920;53.1;47.9;-4.5;50.1;52.1;-10.0;6995;
5940;53.6;48.1;-4.5;49.7;52.5;-10.0;6998;
5960;53.5;48.7;-4.7;50.3;52.2;-10.0;7008;
5980;53.2;48.4;-5.6;50.3;52.2;-10.0;6999;
6000;53.6;48.0;-4.5;50.2;51.9;-10.0;6995;
6020;53.5;48.8;-5.3;50.3;51.9;-10.0;7001;
6040;53.9;48.9;-4.6;50.4;51.4;-10.0;7006;
6060;53.1;47.9;-5.4;50.2;52.3;-10.0;6998;
6080;54.0;49.2;-4.5;50.0;51.9;-10.0;7007;
6100;53.4;48.7;-3.8;50.2;51.2;-10.0;6997;
6120;53.4;48.8;-4.7;50.3;52.1;-10.0;6996;
6140;53.4;48.4;-4.2;50.3;51.1;-10.0;7000;
6160;53.6;48.8;-5.3;50.2;51.9;-10.0;7005;
6180;54.0;48.8;-4.5;50.8;51.8;-10.0;7004;
6200;53.1;47.9;-4.6;50.4;51.3;-10.0;7001;
6220;52.8;49.1;-4.5;50.2;52.1;-10.0;6995;
6240;53.1;49.3;-4.3;50.0;51.9;-10.0;6993;
6260;53.6;47.9;-4.5;50.3;52.1;-10.0;6994;
6280;53.6;48.8;-4.7;49.3;52.0;-10.0;7002;
6300;53.7;48.9;-4.3;50.1;51.7;-10.0;6999;
6320;53.1;47.9;-4.5;50.6;51.5;-10.0;6999;
6340;54.0;48.9;-4.6;50.3;52.2;-10.0;7000;
6360;53.0;48.4;-4.5;50.2;52.1;-10.0;6996;
6380;53.9;48.3;-5.4;50.3;52.1;-10.0;7001;
6400;53.4;48.8;-4.6;50.3;52.1;-10.0;6990;
6420;53.3;48.5;-5.5;50.3;51.9;-10.0;6999;
6440;53.2;48.0;-4.5;50.2;51.9;-10.0;7001;
6460;54.1;48.9;-4.6;50.3;52.2;-10.0;6999;
6480;54.0;48.8;-4.5;50.1;51.7;-10.0;6998;
6620;54.0;48.8;-4.6;50.4;51.4;-10.0;7004;
6640;53.1;48.3;-4.5;50.0;51.9;-10.0;6996;
6660;53.8;49.1;-4.4;50.3;51.2;-10.0;7002;
6680;54.1;48.1;-4.5;50.3;52.1;-10.0;6997;
6700;53.6;48.8;-5.3;50.0;51.7;-10.0;7001;
6720;53.6;47.8;-4.6;50.0;51.7;-10.0;6999;
6740;54.0;48.8;-4.5;50.4;52.3;-10.0;7007;
6760;53.2;48.9;-4.6;49.8;52.6;-10.0;7006;
6780;54.0;49.3;-4.6;50.2;51.2;-10.0;7006;
6800;53.5;48.5;-4.1;50.1;52.0;-10.0;7001;
6820;53.5;48.7;-4.7;50.3;52.2;-10.0;6997;
6840;53.5;48.7;-4.7;50.2;51.9;-10.0;7000;
6860;53.5;48.8;-5.3;50.1;51.7;-10.0;6999;
6880;54.0;48.8;-4.5;49.6;52.5;-10.0;7009;
6900;53.2;48.9;-4.6;50.1;51.0;-10.0;7002;
6920;52.8;49.3;-4.5;50.1;52.0;-10.0;6996;
6940;53.8;48.2;-5.3;50.3;52.1;-10.0;7001;
6960;53.6;48.8;-4.7;50.2;52.1;-10.0;7003;
6980;53.2;48.5;-4.1;50.3;51.9;-10.0;6994;
7000;53.5;48.7;-4.7;50.3;51.9;-10.0;7000;
7020;54.0;48.8;-4.5;49.7;52.5;-10.0;7001;
7040;54.0;48.9;-4.6;50.0;51.9;-10.0;7006;
7060;53.6;48.9;-5.5;50.0;51.9;-10.0;6998;
7080;52.9;49.1;-4.1;50.3;52.2;-10.0;6999;
7100;53.2;48.5;-4.2;50.0;51.9;-10.0;6995;
7120;53.5;48.8;-5.3;50.2;51.9;-10.0;6998;
7140;53.3;48.5;-5.5;50.2;51.9;-10.0;7000;
7160;53.1;47.9;-4.5;49.7;51.7;-10.0;6999;
7180;54.0;48.9;-4.6;50.1;51.1;-10.0;7010;
7200;53.3;48.8;-4.5;50.3;52.1;-10.0;6997;
7220;53.6;48.8;-5.2;50.2;51.2;-10.0;6999;
7240;53.7;48.8;-4.4;50.2;51.2;-10.0;7005;
7260;53.6;47.9;-4.5;50.3;51.9;-10.0;6995;
7280;53.6;48.8;-4.7;50.2;51.9;-10.0;7002;
7300;54.0;48.9;-4.6;50.4;52.4;-10.0;7001;
7320;53.9;48.9;-4.6;50.0;51.9;-10.0;7004;
7340;54.4;49.3;-4.6;50.2;52.1;-10.0;7003;
7360;53.5;48.8;-4.8;50.3;52.2;-10.0;7007;
7380;53.9;48.1;-4.5;50.3;51.2;-10.0;7004;
7400;52.8;49.1;-4.5;50.1;51.7;-10.0;6999;
7420;53.2;48.1;-4.5;49.3;51.9;-10.0;7004;
7440;53.4;48.2;-5.2;50.2;52.2;-10.0;7002;
7460;53.1;47.9;-5.5;50.5;51.5;-10.0;7000;
7480;53.4;48.5;-5.5;50.2;51.9;-10.0;7003;
7640;53.2;48.4;-4.5;50.0;52.0;-10.0;7001;
